,Masked_sentences,Labels
11105,"I have often [MASK] since why he should have carried about these shells with him in his wandering, guilty, and hunted life.",wondered
11106,"In [MASK] meantime, we had found nothing of any value but the silver and the trinkets, and neither of these were in our way.",the
11107,"Underneath there was an old boat-cloak, whitened [MASK] sea-salt on many a harbour-bar.",with
11108,"My mother pulled it up with impatience, and there lay before us, the last things in the chest, a bundle tied up in oilcloth, and looking like [MASK] and a canvas bag that gave forth, at a touch, the jingle of gold.","papers,"
11109,"“I’ll show these rogues that I’m an honest woman,” [MASK] my mother.",said
11110,"“I’ll have my dues, and not [MASK] farthing over.",a
11111,Hold Mrs. Crossley’s bag.” [MASK] she began to count over the amount of the captain’s score from the sailor’s bag into the one that I was holding.,And
11112,"It was a long, difficult business, for [MASK] coins were of all countries and sizes — doubloons, and louis d’ors, and guineas, and pieces of eight, and I know not what besides, all shaken together at random.",the
11113,"The guineas, too, were about the scarcest, and it was with these only that my [MASK] knew how to make her count.",mother
11114,"When we were about half-way through, I suddenly put my hand upon her arm, for I had heard in the silent [MASK] air a sound that brought my heart into my mouth — the taptapping of the blind man’s stick upon the frozen road.",frosty
11115,"It drew [MASK] and nearer, while we sat holding our breath.",nearer
11116,"Then it struck sharp on the inn door, and then we could hear the handle being turned and the bolt rattling as the wretched being [MASK] to enter; and then there was a long time of silence both within and without.",tried
11117,"At last the tapping [MASK] and, to our indescribable joy and gratitude, died slowly away again until it ceased to be heard.","recommenced,"
11118,"“Mother,” said I, “take the [MASK] and let’s be going,” for I was sure the bolted door must have seemed suspicious and would bring the whole hornet’s nest about our ears, though how thankful I was that I had bolted it, none could tell who had never met that terrible blind man.",whole
11119,"But my mother, frightened as she was, would not consent to take a fraction more than was due to her and was obstinately unwilling [MASK] be content with less.",to
11120,"It was not yet seven, she said, by a long [MASK] she knew her rights and she would have them; and she was still arguing with me when a little low whistle sounded a good way off upon the hill.",way;
11121,"That was enough, and more than enough, for [MASK] of us.",both
11122,"“I’ll take what I have,” she said, jumping to [MASK] feet.",her
11123,"“And I’ll [MASK] this to square the count,” said I, picking up the oilskin packet.",take
11124,"Next moment we were both groping downstairs, leaving the candle by the empty chest; Treasure Island Robert Louis Stevenson Page 18/142and the [MASK] we had opened the door and were in full retreat.",next
11125,We had not started a moment [MASK] soon.,too
11126,The fog was rapidly dispersing; already the moon shone quite clear on the high ground on either side; and it was only in the exact bottom of the dell and round the tavern [MASK] that a thin veil still hung unbroken to conceal the first steps of our escape.,door
11127,"Far less than half-way [MASK] the hamlet, very little beyond the bottom of the hill, we must come forth into the moonlight.",to
11128,"Nor was this all, for the sound of several footsteps running came already to our ears, and as we [MASK] back in their direction, a light tossing to and fro and still rapidly advancing showed that one of the newcomers carried a lantern.",looked
11129,"“My dear,” said my mother suddenly, “take the money and [MASK] on.",run
11130,"I am going to faint.” This was certainly the end for both [MASK] us, I thought.",of
11131,"How I cursed the cowardice of the neighbours; how I blamed [MASK] poor mother for her honesty and her greed, for her past foolhardiness and present weakness!",my
11132,"We were just at the little bridge, by good fortune; and I helped her, tottering as she was, to the edge of the bank, where, sure enough, she gave [MASK] sigh and fell on my shoulder.",a
11133,"I do not know how I found the strength to do it at all, and I am afraid it was roughly done, but I managed [MASK] drag her down the bank and a little way under the arch.",to
11134,"Farther I could not move her, for the bridge was [MASK] low to let me do more than crawl below it.",too
11135,So there we had to stay — my mother almost entirely exposed and both of us within earshot [MASK] the inn.,of
11136,"Chapter V The Last of the Blind Man My curiosity, in a sense, was stronger than [MASK] fear, for I could not remain where I was, but crept back to the bank again, whence, sheltering my head behind a bush of broom, I might command the road before our door.",my
11137,"I [MASK] scarcely in position ere my enemies began to arrive, seven or eight of them, running hard, their feet beating out of time along the road and the man with the lantern some paces in front.",was
11138,"[MASK] men ran together, hand in hand; and I made out, even through the mist, that the middle man of this trio was the blind beggar.",Three
11139,The next moment his voice showed me [MASK] I was right.,that
11140,“Down with the door!” he [MASK],cried.
11141,"“Aye, aye, [MASK] answered two or three; and a rush was made upon the Admiral Benbow, the lantern-bearer following; and then I could see them pause, and hear speeches passed in a lower key, as if they were surprised to find the door open.",sir!”
11142,"But the pause was brief, for the blind man again [MASK] his commands.",issued
11143,"His voice sounded louder and higher, as if [MASK] were afire with eagerness and rage.",he
11144,"“In, in, in!” he shouted, and cursed [MASK] for their delay.",them
11145,Treasure Island Robert Louis Stevenson Page 19/142Four or five of them obeyed at [MASK] two remaining on the road with the formidable beggar.,"once,"
11146,"There was a pause, then a cry of surprise, and then a voice shouting from the [MASK] “Bill’s dead.” But the blind man swore at them again for their delay.","house,"
11147,"“Search him, some of you shirking lubbers, and [MASK] rest of you aloft and get the chest,” he cried.",the
11148,"I could hear their feet rattling up our [MASK] stairs, so that the house must have shook with it.",old
11149,"Promptly afterwards, fresh sounds of astonishment arose; the window of the captain’s [MASK] was thrown open with a slam and a jingle of broken glass, and a man leaned out into the moonlight, head and shoulders, and addressed the blind beggar on the road below him.",room
11150,"“Pew,” he [MASK] “they’ve been before us.","cried,"
11151,[MASK] turned the chest out alow and aloft.” “Is it there?” roared Pew.,Someone’s
11152,“The money’s [MASK] The blind man cursed the money.,there.”
11153,"“Flint’s fist, I mean,” [MASK] cried.",he
11154,"“We don’t see [MASK] here nohow,” returned the man.",it
11155,"“Here, you below there, is it on Bill?” cried the [MASK] man again.",blind
11156,"At that another fellow, probably him who had remained below to search the captain’s body, came to the door [MASK] the inn.",of
11157,"“Bill’s been overhauled a’ready,” said he; “nothin’ left.” “It’s [MASK] people of the inn — it’s that boy.",these
11158,"I wish I had put his eyes out!” cried the [MASK] man, Pew.",blind
11159,“There were no time ago [MASK] they had the door bolted when I tried it.,—
11160,"German Scatter, lads, and find ’em.” “Sure [MASK] they left their glim here,” said the fellow from the window.","enough,"
11161,“Scatter and [MASK] ’em!,find
11162,Rout the house out!” reiterated [MASK] striking with his stick upon the road.,"Pew,"
11163,"Then there [MASK] a great to-do through all our old inn, heavy feet pounding to and fro, furniture thrown over, doors kicked in, until the very rocks re-echoed and the men came out again, one after another, on the road and declared that we were nowhere to be found.",followed
11164,"And just the same whistle that had [MASK] my mother and myself over the dead captain’s money was once more clearly audible through the night, but this time twice repeated.",alarmed
11165,"I had thought it to be the blind man’s trumpet, so to speak, summoning his crew to the assault, but I now found that it was a [MASK] from the hillside towards the hamlet, and from its effect upon the buccaneers, a signal to warn them of approaching danger.",signal
11166,"[MASK] Island Robert Louis Stevenson Page 20/142“There’s Dirk again,” said one.",Treasure
11167,[MASK],“Twice!
11168,"We’ll have [MASK] budge, mates.” “Budge, you skulk!” cried Pew.",to
11169,“Dirk was a fool and a coward from the first — you wouldn’t [MASK] him.,mind
11170,They must be close by; they can’t [MASK] far; you have your hands on it.,be
11171,"[MASK] and look for them, dogs!",Scatter
11172,"Oh, shiver my soul,” he cried, “if I had eyes!” This appeal seemed to produce [MASK] effect, for two of the fellows began to look here and there among the lumber, but half-heartedly, I thought, and with half an eye to their own danger all the time, while the rest stood irresolute on the road.",some
11173,"[MASK] have your hands on thousands, you fools, and you hang a leg!",“You
11174,"You’d [MASK] as rich as kings if you could find it, and you know it’s here, and you stand there skulking.",be
11175,"There wasn’t one of you dared face Bill, and I [MASK] it — a blind man!",did
11176,And [MASK] to lose my chance for you!,I’m
11177,"[MASK] to be a poor, crawling beggar, sponging for rum, when I might be rolling in a coach!",I’m
11178,"If you had the pluck of a weevil in a biscuit you would catch them still.” “Hang it, Pew, we’ve got the doubloons!” grumbled [MASK]",one.
11179,"“They might have hid the [MASK] thing,” said another.",blessed
11180,"“Take the Georges, Pew, and don’t stand here squalling.” Squalling was the word for it; Pew’s anger rose [MASK] high at these objections till at last, his passion completely taking the upper hand, he struck at them right and left in his blindness and his stick sounded heavily on more than one.",so
11181,"These, in their turn, cursed back at the blind miscreant, threatened him in horrid terms, and tried in vain to [MASK] the stick and wrest it from his grasp.",catch
11182,"This quarrel was the saving of us, for while it was still raging, another sound came from the top of the hill on the side of the [MASK] — the tramp of horses galloping.",hamlet
11183,"[MASK] at the same time a pistol-shot, flash and report, came from the hedge side.",Almost
11184,"And that was plainly the last signal of danger, for the buccaneers turned at once and ran, separating in every direction, one [MASK] along the cove, one slant across the hill, and so on, so that in half a minute not a sign of them remained but Pew.",seaward
11185,"Him they had deserted, whether in sheer [MASK] or out of revenge for his ill words and blows I know not; but there he remained behind, tapping up and down the road in a frenzy, and groping and calling for his comrades.",panic
11186,"Finally he took a wrong turn and ran a few steps past me, towards the hamlet, crying, “Johnny, Black Dog, Dirk,” and [MASK] names, “you won’t leave old Pew, mates — not old Pew!” Just then the noise of horses topped the rise, and four or five riders came in sight in the moonlight and swept at full gallop down the slope.",other
11187,"At this Pew saw his error, [MASK] with a scream, and ran straight for the ditch, into Treasure Island Robert Louis Stevenson Page 21/142which he rolled.",turned
11188,"But he was on his feet again in a [MASK] and made another dash, now utterly bewildered, right under the nearest of the coming horses.",second
11189,The rider tried to save [MASK] but in vain.,"him,"
11190,Down went Pew with a cry that rang high into [MASK] night; and the four hoofs trampled and spurned him and passed by.,the
11191,"He fell [MASK] his side, then gently collapsed upon his face and moved no more.",on
11192,I leaped to my [MASK] and hailed the riders.,feet
11193,"They were pulling up, at any rate, horrified at the [MASK] and I soon saw what they were.",accident;
11194,"One, tailing out behind the rest, was a lad that had gone from the hamlet to Dr. Livesey’s; the rest were revenue officers, whom he had met by [MASK] way, and with whom he had had the intelligence to return at once.",the
11195,"Some news of the [MASK] in Kitt’s Hole had found its way to Supervisor Dance and set him forth that night in our direction, and to that circumstance my mother and I owed our preservation from death.",lugger
11196,Pew was [MASK] stone dead.,"dead,"
11197,"As for my mother, when we had carried her up to the hamlet, a little cold water and salts and that soon brought her back again, and she was none the worse for her terror, though she still continued to deplore the [MASK] of the money.",balance
11198,"In the meantime the supervisor rode on, as fast as he could, to Kitt’s Hole; but his men had to dismount and grope down the dingle, leading, and sometimes supporting, their horses, and in continual fear [MASK] ambushes; so it was no great matter for surprise that when they got down to the Hole the lugger was already under way, though still close in.",of
11199,[MASK] hailed her.,He
11200,"[MASK] voice replied, telling him to keep out of the moonlight or he would get some lead in him, and at the same time a bullet whistled close by his arm.",A
11201,"Soon after, the lugger doubled the point and [MASK]",disappeared.
11202,"Mr. Dance stood there, as he said, “like a fish out [MASK] water,” and all he could do was to dispatch a man to B—— to warn the cutter.",of
11203,"“And that,” said [MASK] “is just about as good as nothing.","he,"
11204,"[MASK] got off clean, and there’s an end.",They’ve
11205,"[MASK] he added, “I’m glad I trod on Master Pew’s corns,” for by this time he had heard my story.","Only,”"
11206,"I went back with him to the Admiral Benbow, and you cannot imagine a house in such a state of smash; the very clock had been thrown down by these fellows in their furious hunt after my mother [MASK] myself; and though nothing had actually been taken away except the captain’s money-bag and a little silver from the till, I could see at once that we were ruined.",and
11207,Mr. Dance [MASK] make nothing of the scene.,could
11208,"[MASK] got the money, you say?",“They
11209,"Well, then, [MASK] what in fortune were they after?","Hawkins,"
11210,"More money, I suppose?” [MASK] sir; not money, I think,” replied I.","“No,"
11211,"“In fact, sir, I believe I have the thing in my breast pocket; and to tell you the truth, I should like to get it put in [MASK] Treasure Island Robert Louis Stevenson Page 22/142“To be sure, boy; quite right,” said he.",safety.”
11212,"“I’ll take it, if you like.” [MASK] thought perhaps Dr. Livesey —” I began.",“I
11213,"“Perfectly right,” he interrupted very cheerily, “perfectly right — a gentleman [MASK] a magistrate.",and
11214,"And, now I come to think of it, I might as well ride round there myself and report to [MASK] or squire.",him
11215,"Master Pew’s dead, when all’s done; not that I regret it, [MASK] he’s dead, you see, and people will make it out against an officer of his Majesty’s revenue, if make it out they can.",but
11216,"Now, I’ll tell you, Hawkins, if you like, I’ll take you along.” I thanked him heartily for the offer, and we walked back to the hamlet where the horses [MASK]",were.
11217,[MASK] the time I had told mother of my purpose they were all in the saddle.,By
11218,"“Dogger,” said Mr. Dance, “you have a good horse; take up this lad behind you.” As soon as I was mounted, holding on to Dogger’s belt, the supervisor gave the word, [MASK] the party struck out at a bouncing trot on the road to Dr. Livesey’s house.",and
11219,Chapter VI The Captainʼs Papers We rode hard all the way till we drew [MASK] before Dr. Livesey’s door.,up
11220,The house was all dark to [MASK] front.,the
11221,"Mr. Dance told me to jump [MASK] and knock, and Dogger gave me a stirrup to descend by.",down
11222,The door was opened [MASK] at once by the maid.,almost
11223,“Is Dr. [MASK] in?” I asked.,Livesey
11224,"No, she said, he had come home in [MASK] afternoon but had gone up to the hall to dine and pass the evening with the squire.",the
11225,"“So there we [MASK] boys,” said Mr. Dance.","go,"
11226,"This time, as the distance was short, I did not mount, but ran with Dogger’s stirrupleather [MASK] the lodge gates and up the long, leafless, moonlit avenue to where the white line of the hall buildings looked on either hand on great old gardens.",to
11227,"Here [MASK] Dance dismounted, and taking me along with him, was admitted at a word into the house.",Mr.
11228,"The servant led us down a matted passage and showed [MASK] at the end into a great library, all lined with bookcases and busts upon the top of them, where the squire and Dr. Livesey sat, pipe in hand, on either side of a bright fire.",us
11229,I had never seen the squire so near at [MASK],hand.
11230,"[MASK] was a tall man, over six feet high, and broad in proportion, and he had a bluff, rough-and-ready face, all roughened and reddened and lined in his long travels.",He
11231,"His eyebrows were very black, and Treasure [MASK] Robert Louis Stevenson Page 23/142moved readily, and this gave him a look of some temper, not bad, you would say, but quick and high.",Island
11232,"“Come in, Mr. Dance,” says [MASK] very stately and condescending.","he,"
11233,"“Good evening, Dance,” says the [MASK] with a nod.",doctor
11234,"[MASK] good evening to you, friend Jim.",“And
11235,"What good wind brings you here?” The [MASK] stood up straight and stiff and told his story like a lesson; and you should have seen how the two gentlemen leaned forward and looked at each other, and forgot to smoke in their surprise and interest.",supervisor
11236,"When they heard how my mother went back to the [MASK] Dr. Livesey fairly slapped his thigh, and the squire cried “Bravo!” and broke his long pipe against the grate.","inn,"
11237,"Long before it was done, Mr. Trelawney (that, you will remember, was the squire’s name) had got up from his seat and was striding about [MASK] room, and the doctor, as if to hear the better, had taken off his powdered wig and sat there looking very strange indeed with his own close-cropped black poll.",the
11238,At last Mr. Dance finished the [MASK],story.
11239,[MASK],“Mr.
11240,"Dance,” said the squire, “you are a very [MASK] fellow.",noble
11241,"And as for riding down that black, atrocious miscreant, I regard it as an act of virtue, sir, like stamping on a [MASK]",cockroach.
11242,"This lad Hawkins is a trump, [MASK] perceive.",I
11243,"Hawkins, [MASK] you ring that bell?",will
11244,"Mr. Dance must have some ale.” “And so, Jim,” said the doctor, “you have the thing [MASK] they were after, have you?” “Here it is, sir,” said I, and gave him the oilskin packet.",that
11245,"German The doctor looked it all over, as if his fingers were itching to [MASK] it; but instead of doing that, he put it quietly in the pocket of his coat.",open
11246,"“Squire,” said he, “when Dance has had his ale he must, of course, be off on his Majesty’s service; but I mean to [MASK] Jim Hawkins here to sleep at my house, and with your permission, I propose we should have up the cold pie and let him sup.” “As you will, Livesey,” said the squire; “Hawkins has earned better than cold pie.” So a big pigeon pie was brought in and put on a sidetable, and I made a hearty supper, for I was as hungry as a hawk, while Mr. Dance was further complimented and at last dismissed.",keep
11247,"“And now, squire,” said the [MASK]",doctor.
11248,"“And now, Livesey,” said the [MASK] in the same breath.",squire
11249,"“One [MASK] a time, one at a time,” laughed Dr. Livesey.",at
11250,"“You have heard of this Flint, I Treasure Island Robert Louis Stevenson Page 24/142suppose?” [MASK] of him!” cried the squire.",“Heard
11251,“Heard of [MASK] you say!,"him,"
11252,He [MASK] the bloodthirstiest buccaneer that sailed.,was
11253,Blackbeard was a [MASK] to Flint.,child
11254,"The Spaniards were so prodigiously [MASK] of him that, I tell you, sir, I was sometimes proud he was an Englishman.",afraid
11255,"I’ve seen his top-sails with these eyes, off Trinidad, and the cowardly son of a rum-puncheon that I sailed with put back [MASK] put back, sir, into Port of Spain.” “Well, I’ve heard of him myself, in England,” said the doctor.",—
11256,"“But the point is, [MASK] he money?” “Money!” cried the squire.",had
11257,[MASK] you heard the story?,“Have
11258,What were these villains [MASK] but money?,after
11259,What do they [MASK] for but money?,care
11260,"For what would they risk their rascal carcasses but money?” “That we shall soon know,” [MASK] the doctor.",replied
11261,“But you are so confoundedly hotheaded and exclamatory that I cannot [MASK] a word in.,get
11262,"What I want to know is this: Supposing that I have here in my pocket some clue to where Flint buried his treasure, will that treasure amount to much?” “Amount, [MASK] cried the squire.",sir!”
11263,"“It will amount to this: If we have the clue you talk about, I fit out a ship in Bristol dock, and take you and Hawkins here along, and I’ll have that treasure if I search a [MASK] “Very well,” said the doctor.",year.”
11264,"“Now, [MASK] if Jim is agreeable, we’ll open the packet”; and he laid it before him on the table.","then,"
11265,"The bundle [MASK] sewn together, and the doctor had to get out his instrument case and cut the stitches with his medical scissors.",was
11266,It contained two [MASK] — a book and a sealed paper.,things
11267,"“First of all we’ll [MASK] the book,” observed the doctor.",try
11268,"The squire and I were both peering over his shoulder as he opened it, for Dr. [MASK] had kindly motioned me to come round from the side-table, where I had been eating, to enjoy the sport of the search.",Livesey
11269,"On the first page there were only [MASK] scraps of writing, such as a man with a pen in his hand might make for idleness or practice.",some
11270,"One was the same as the tattoo mark, “Billy Bones his fancy”; [MASK] there was “Mr.",then
11271,"W. Bones, mate,” “No more rum,” “Off Palm Key he got itt,” and some other [MASK] mostly single words and unintelligible.","snatches,"
11272,"I could [MASK] help wondering who it was that had “got itt,” and what “itt” was that he got.",not
11273,A knife in his [MASK] as like as not.,back
11274,"“Not much instruction there,” said [MASK] Livesey as he passed on.",Dr.
11275,Treasure Island Robert Louis Stevenson Page 25/142The next ten or twelve pages were filled with [MASK] curious series of entries.,a
11276,"There was a date at one end of the line and at [MASK] other a sum of money, as in common account-books, but instead of explanatory writing, only a varying number of crosses between the two.",the
11277,"On the 12th of June, 1745, for instance, a sum of seventy pounds had plainly [MASK] due to someone, and there was nothing but six crosses to explain the cause.",become
11278,"In a few cases, [MASK] be sure, the name of a place would be added, as “Offe Caraccas,” or a mere entry of latitude and longitude, as “62o 17’ 20”, 19o 2’ 40”.” The record lasted over nearly twenty years, the amount of the separate entries growing larger as time went on, and at the end a grand total had been made out after five or six wrong additions, and these words appended, “Bones, his pile.” “I can’t make head or tail of this,” said Dr. Livesey.",to
11279,"“The thing is as clear as noonday,” [MASK] the squire.",cried
11280,“This is the black-hearted [MASK] account-book.,hound’s
11281,These [MASK] stand for the names of ships or towns that they sank or plundered.,crosses
11282,"The sums are the scoundrel’s share, and where he feared an ambiguity, [MASK] see he added something clearer.",you
11283,"‘Offe Caraccas,’ now; you see, here was some unhappy vessel [MASK] off that coast.",boarded
11284,God help the poor souls that [MASK] her — coral long ago.” “Right!” said the doctor.,manned
11285,“See what it is to be [MASK] traveller.,a
11286,[MASK],Right!
11287,"And the amounts increase, you see, as he rose in rank.” There was little else in the volume but a few bearings of places noted in the [MASK] leaves towards the end and a table for reducing French, English, and Spanish moneys to a common value.",blank
11288,“Thrifty man!” cried [MASK] doctor.,the
11289,"“He wasn’t the one to be cheated.” “And now,” said the squire, “for the other.” The paper had been sealed in several places with a thimble by way of seal; the very thimble, perhaps, that I had found in [MASK] captain’s pocket.",the
11290,"The doctor opened the seals with great care, and there fell out the map of an island, with latitude and longitude, soundings, names of hills and bays and inlets, [MASK] every particular that would be needed to bring a ship to a safe anchorage upon its shores.",and
11291,"It was about nine miles long and five across, shaped, you might say, like a fat dragon standing up, and had two fine land-locked harbours, and a hill in the centre part marked “The Spy-glass.” There were several additions of a later date, but above all, three crosses of red ink — two on the north part of the island, one in the southwest — and [MASK] this last, in the same red ink, and in a small, neat hand, very different from the captain’s tottery characters, these words: “Bulk of treasure here.” Over on the back the same hand had written this further information: Treasure Island Robert Louis Stevenson Page 26/142Tall tree, Spy-glass shoulder, bearing a point to the N. of N.N.E.",beside
11292,Skeleton Island [MASK],E.S.E.
11293,[MASK] by E. Ten feet.,and
11294,"The bar silver is in the north cache; you can find it [MASK] the trend of the east hummock, ten fathoms south of the black crag with the face on it.",by
11295,"The arms are easy found, in the sand-hill, N. point of north inlet [MASK] bearing E. and a quarter N. J.F.","cape,"
11296,"That [MASK] all; but brief as it was, and to me incomprehensible, it filled the squire and Dr. Livesey with delight.",was
11297,"“Livesey,” [MASK] the squire, “you will give up this wretched practice at once.",said
11298,Tomorrow [MASK] start for Bristol.,I
11299,"In three weeks’ time [MASK] three weeks!— two weeks — ten days — we’ll have the best ship, sir, and the choicest crew in England.",—
11300,Hawkins shall come [MASK] cabinboy.,as
11301,"You’ll make a [MASK] cabin-boy, Hawkins.",famous
11302,"You, Livesey, are ship’s doctor; I am [MASK]",admiral.
11303,"We’ll take Redruth, Joyce, and [MASK]",Hunter.
11304,"We’ll have favourable winds, a quick passage, and not the least difficulty in finding the spot, and money to eat, to roll in, to play duck and drake with ever after.” “Trelawney,” said the doctor, “I’ll go with you; and I’ll go bail for it, so will Jim, and be a [MASK] to the undertaking.",credit
11305,There’s only one man I’m afraid of.” “And [MASK] that?” cried the squire.,who’s
11306,"“Name the dog, sir!” “You,” replied [MASK] doctor; “for you cannot hold your tongue.",the
11307,We are not [MASK] only men who know of this paper.,the
11308,"These [MASK] who attacked the inn tonight — bold, desperate blades, for sure — and the rest who stayed aboard that lugger, and more, I dare say, not far off, are, one and all, through thick and thin, bound that they’ll get that money.",fellows
11309,We must none of us go alone till we get to [MASK],sea.
11310,"Jim and I shall [MASK] together in the meanwhile; you’ll take Joyce and Hunter when you ride to Bristol, and from first to last, not one of us must breathe a word of what we’ve found.” “Livesey,” returned the squire, “you are always in the right of it.",stick
11311,I’ll be as silent as the grave.” Part [MASK],Two.
11312,"The Sea Cook Chapter VII I Go [MASK] Bristol It was longer than the squire imagined ere we were ready for the sea, and none of our first plans — not even Dr. Livesey’s, of keeping me beside him — could be carried out as we intended.",to
11313,"The doctor had to go to London for [MASK] physician to take charge of his practice; the squire was hard at work at Bristol; and I lived on at the hall under the charge of old Redruth, the gamekeeper, almost a prisoner, but full of sea-dreams and the most charming anticipations of strange islands and adventures.",a
11314,"Treasure Island Robert Louis Stevenson Page 27/142I brooded by the hour together over the map, all the details of which [MASK] well remembered.",I
11315,"Sitting by the fire [MASK] the housekeeper’s room, I approached that island in my fancy from every possible direction; I explored every acre of its surface; I climbed a thousand times to that tall hill they call the Spy-glass, and from the top enjoyed the most wonderful and changing prospects.",in
11316,"Sometimes the isle was thick with savages, with whom we fought, sometimes full of dangerous animals that hunted us, but in all my fancies nothing occurred to me so [MASK] and tragic as our actual adventures.",strange
11317,"So the weeks passed on, till one fine day there came a letter addressed to Dr. Livesey, with this addition, “To be opened, in the case of his absence, by Tom Redruth or young Hawkins.” Obeying this order, we found, or rather I found — for the gamekeeper was a poor hand at reading [MASK] but print — the following important news: Old Anchor Inn, Bristol, March 1, 17 — Dear Livesey — As I do not know whether you are at the hall or still in London, I send this in double to both places.",anything
11318,[MASK] ship is bought and fitted.,The
11319,"She lies at anchor, ready [MASK] sea.",for
11320,"You never [MASK] a sweeter schooner — a child might sail her — two hundred tons; name, HISPANIOLA.",imagined
11321,"I got her through my old friend, Blandly, who has proved himself throughout [MASK] most surprising trump.",the
11322,"The admirable fellow literally slaved in [MASK] interest, and so, I may say, did everyone in Bristol, as soon as they got wind of the port we sailed for — treasure, I mean.",my
11323,"“Redruth,” said I, [MASK] the letter, “Dr.",interrupting
11324,Livesey will [MASK] like that.,not
11325,"The squire has been talking, [MASK] all.” “Well, who’s a better right?” growled the gamekeeper.",after
11326,"“A pretty rum go if squire ain’t to talk for Dr. Livesey, I should think.” At that I gave up all attempts at commentary and read straight on: German Blandly himself found the HISPANIOLA, and by the [MASK] admirable management got her for the merest trifle.",most
11327,[MASK] is a class of men in Bristol monstrously prejudiced against Blandly.,There
11328,"They go the length of declaring that this honest creature [MASK] do anything for money, that the HISPANIOLA belonged to him, and that he sold it me absurdly high — the most transparent calumnies.",would
11329,"None of them dare, however, to deny the merits of [MASK] ship.",the
11330,Treasure Island Robert [MASK] Stevenson Page 28/142So far there was not a hitch.,Louis
11331,"The workpeople, to be [MASK] — riggers and what not — were most annoyingly slow; but time cured that.",sure
11332,It [MASK] the crew that troubled me.,was
11333,"I wished a round score of men — in case of natives, buccaneers, or the odious French — and I had the worry of the deuce itself to find so much as half a dozen, till the most remarkable stroke of fortune brought me the very man that I [MASK]",required.
11334,"I was standing on the dock, when, by the merest accident, [MASK] fell in talk with him.",I
11335,"I found he was an old sailor, kept a public-house, knew all the seafaring men in Bristol, had lost his health ashore, and wanted a good berth as cook to [MASK] to sea again.",get
11336,"He had hobbled down there that morning, he said, to get a smell [MASK] the salt.",of
11337,"I was monstrously touched — so would you have been — and, out of [MASK] pity, I engaged him on the spot to be ship’s cook.",pure
11338,"Long John Silver, he is called, and has lost a leg; but that I regarded as a recommendation, since he lost [MASK] in his country’s service, under the immortal Hawke.",it
11339,"He has no pension, [MASK]",Livesey.
11340,Imagine the [MASK] age we live in!,abominable
11341,"Well, sir, I thought I had only found a cook, but it was a crew I [MASK] discovered.",had
11342,"Between Silver and myself we got together in [MASK] few days a company of the toughest old salts imaginable — not pretty to look at, but fellows, by their faces, of the most indomitable spirit.",a
11343,I [MASK] we could fight a frigate.,declare
11344,Long [MASK] even got rid of two out of the six or seven I had already engaged.,John
11345,He showed me in a moment that they were just the sort of fresh-water swabs we had to fear in [MASK] adventure of importance.,an
11346,"[MASK] am in the most magnificent health and spirits, eating like a bull, sleeping like a tree, yet I shall not enjoy a moment till I hear my old tarpaulins tramping round the capstan.",I
11347,[MASK] ho!,"Seaward,"
11348,Hang the [MASK],treasure!
11349,It’s the glory [MASK] the sea that has turned my head.,of
11350,"So now, Livesey, come post; do [MASK] lose an hour, if you respect me.",not
11351,"Let young Hawkins go at once to see his mother, with Redruth for a guard; and then both come full [MASK] to Bristol.",speed
11352,"John Trelawney Postscript — I did not tell you that Blandly, who, by the way, is to send a [MASK] after us if we don’t turn up by the end of August, had found an admirable fellow for sailing master — a stiff man, which I regret, but in all other respects a treasure.",consort
11353,"Long John Silver unearthed a very [MASK] man for a mate, a man named Arrow.",competent
11354,"I have a boatswain who pipes, [MASK] so things shall go man-o’-war fashion on board the good ship HISPANIOLA.",Livesey;
11355,"I forgot to tell you that Silver [MASK] a man of substance; I know of my own knowledge that he has a banker’s account, which has never been overdrawn.",is
11356,"He leaves his wife Treasure Island Robert Louis Stevenson Page 29/142to [MASK] the inn; and as she is a woman of colour, a pair of old bachelors like you and I may be excused for guessing that it is the wife, quite as much as the health, that sends him back to roving.",manage
11357,J. T. P.P.S.— Hawkins may stay one night with [MASK] mother.,his
11358,J. T. You can fancy the [MASK] into which that letter put me.,excitement
11359,"I was half beside myself with glee; and if ever I despised a man, it was old Tom Redruth, who could do nothing [MASK] grumble and lament.",but
11360,"Any of the undergamekeepers would gladly have changed places [MASK] him; but such was not the squire’s pleasure, and the squire’s pleasure was like law among them all.",with
11361,Nobody but old Redruth would have dared [MASK] much as even to grumble.,so
11362,The next morning he and I set out on foot for the Admiral [MASK] and there I found my mother in good health and spirits.,"Benbow,"
11363,"The captain, who [MASK] so long been a cause of so much discomfort, was gone where the wicked cease from troubling.",had
11364,"The squire had had everything repaired, and the public rooms and [MASK] sign repainted, and had added some furniture — above all a beautiful armchair for mother in the bar.",the
11365,He had found her a boy as an apprentice also [MASK] that she should not want help while I was gone.,so
11366,"It was on seeing that boy that I understood, for the first time, my [MASK]",situation.
11367,"I had thought up to that moment of the adventures before me, not at all of the home that I was leaving; and now, [MASK] sight of this clumsy stranger, who was to stay here in my place beside my mother, I had my first attack of tears.",at
11368,"I am afraid I led that boy a dog’s life, for as he was new to the work, I had a hundred opportunities of setting [MASK] right and putting him down, and I was not slow to profit by them.",him
11369,"The night passed, and [MASK] next day, after dinner, Redruth and I were afoot again and on the road.",the
